Evento,Fecha,Latitud ,Longitud ,Tiempos de Trayectoria                                            
,,"28,1","-109,8",0145
,,"28,2","-110,2",0245
,,"27,8","-110,5",0345
,,"27,3","-110,8",0445
,,"26,7","-111,2",0545
,,"26,7","-111,6",0645
,,"26,5","-110,9",0745
,,"26,4",-111,0845
32,23/jul,"29,7","-109,6",0345
,,"29,9","-109,9",0445
,,"29,6","-109,9",0545
,,"29,5","-110,3",0645
,,"29,4","-110,5",0745
,,"29,0","-110,4",0845
,,"28,0","-110,7",0915
33,23/jul,"18,8","-95,1",1245
,,"19,3","-95,2",1345
,,"19,5","-95,4",1445
,,"19,7","-95,6",1545
34,24/jul,"28,6","-109,2",0045
,,"28,6","-109,4",0145
,,"28,5","-109,6",0245
,,"28,9",-110,0345
,,"29,1","-110,3",0445
,,"29,3","-110,5",0545
,,"29,2",-111,0645
,,"29,3",-111,0745
35,26/jul,"14,9",-93,0015
,,"15,3","-93,5",0115
,,"15,4","-93,8",0215
,,"15,3","-94,1",0315
,,"15,3","-94,4",0415
36,27/jul,"15,4","-98,9",0515
,,"15,4","-99,2",0615
,,"15,4","-99,4",0715
,,"15,8",-100,0815
37,27/jul,"19,3",-106,0715
,,"19,3","-106,4",0815
,,"19,5","-106,4",0915
,,"19,7","-106,6",1015
,,"19,6","-106,4",1045
38,27/jul,"21,1","-105,5",1415
,,"21,2",-106,1515
,,"21,5","-106,1",1615
,,"21,6","-106,4",1715
,,"21,8","-106,4",1745
39,27-28/jul,"23,4","-106,8",1945
,,"23,6","-107,1",2045
,,"23,8","-107,3",2145
,,"24,3","-107,4",2245
,,"24,4","-107,6",2345
,,"24,5","-107,9",0045
,,"25,6","-108,1",0145
,,"26,1","-108,2",0215
40,28/jul,"15,9","-94,5",0715
,,"16,2","-94,9",0815
,,"16,3","-95,1",0915
,,"15,8","-95,2",1015
,,"15,4","-95,3",1115
,,"15,3","-95,4",1145
41,27-28/jul,"18,7","-90,6",2315
,,"18,9","-90,7",0015
,,"19,0","-90,7",0115
,,"19,2","-90,8",0215
,,"19,6","-91,1",0315
42,30/jul,"26,0",-100,0515
,,"25,9","-100,3",0615
,,"25,7","-100,3",0715
,,"25,3","-99,9",0815
,,"25,1","-100,1",0915
,,"24,8","-100,3",1015
43,31/jul,"24,8","-107,2",0015
,,"25,1","-107,6",0115
,,"25,3","-107,7",0215
,,"25,8","-108,1",0315
,,"25,9","-108,2",0415
,,"26,1","-108,2",0515
,,"27,1","-108,8",0615
,,"26,9","-108,8",0715
,,"27,3","-108,6",0815
44,31/jul,"22,7","-99,6",0415
,,"22,4","-99,8",0515
,,"22,0","-99,6",0615
,,"21,5","-99,9",0715
,,"21,4","-99,8",0745
45,01/ago,"16,8","-98,3",0515
,,"16,7","-98,7",0615
,,"16,5","-98,9",0715
,,"16,2",-99,0815
,,"15,7","-99,1",0915
,,"15,7","-99,5",1015
,,"15,4","-99,8",1115
46,02/ago,"19,4","-90,4",2145
,,"19,5","-90,8",2245
,,"20,7","-90,5",2345
,,"21,0","-90,8",0045
,,"21,0",-91,0145
47,03/ago,"20,8","-103,6",0615
,,"21,0","-104,2",0715
,,"21,3","-104,7",0815
,,"21,4","-104,9",0915
,,"21,4","-105,2",1015
,,"21,6","-105,8",1115
,,"21,6","-106,1",1215
,,"21,6","-106,4",1315
,,"21,5","-106,8",1415
48,03/ago,"23,0",-107,1545
,,"23,2","-107,7",1645
,,"23,5","-108,2",1745
,,"23,7","-108,4",1845
,,"24,0","-108,8",1945
49,03-04/ago,"25,8","-108,5",2245
,,"26,3",-109,2345
,,"26,8","-109,3",0045
,,"27,0","-109,3",0145
,,"27,4","-109,7",0245
,,"27,6",-110,0345
,,"27,7",-110,0415
50,06/ago,"25,2","-107,2",0015
,,"25,3","-107,5",0115
,,"25,4",-108,0215
,,"25,8","-108,1",0315
,,"26,0","-108,5",0415
,,"26,2","-108,9",0515
,,"26,5","-109,3",0615
,,"26,5","-109,4",0715
,,"27,1","-109,8",0815
,,"27,9","-110,4",0915
,,"28,1","-110,7",1015
,,"28,5","-110,4",1115
51,07/ago,"15,2","-93,9",0515
,,"15,4","-94,8",0615
,,"15,4",-95,0715
,,"15,0","-95,5",0815
,,"14,7","-95,8",0915
,,"14,6","-96,3",1015
,,"14,4",-97,1115
52,09-10/ago,"28,0","-109,9",2245
,,"28,0","-110,2",2345
,,"28,1","-110,3",0045
,,"27,9","-110,4",0145
,,"28,4","-110,2",0245
,,"28,7","-109,6",0345
,,"29,0","-109,6",0445
53,09-10/ago,"18,1","-90,5",2115
,,"18,1","-91,1",2215
,,"18,9","-91,3",2315
,,"18,9","-91,6",0015
,,"18,8","-91,7",0115
54,11/ago,"19,0",101,0415
,,"19,0",-102,0515
,,"18,8","-101,8",0615
,,"18,9","-103,1",0715
,,"18,8","-103,5",0815
,,"18,6","-103,8",0915
,,"18,4","-104,5",1015
,,"18,5",-105,1115
,,"18,5","-105,3",1145
55,11/ago,"14,5","-97,9",0615
,,"14,3","-98,3",0715
,,"14,2","-98,8",0815
,,"13,6",-100,0915
,,"13,4","-100,4",1015
